sort,title,cover_file,pdf_source_url,status,note
1,2025 Newsletter,01-2025.jpg,https://epss.ucla.edu/wp-content/uploads/2026/02/epss_2025_newsletter_web.pdf,rendered,
2,2024 Newsletter,02-2024.jpg,https://epss.ucla.edu/wp-content/uploads/2025/07/EPSS_Newsletter_2024_1nkzBrQ.pdf,rendered,
3,2023 Newsletter,03-2023.jpg,https://epss.ucla.edu/wp-content/uploads/2025/07/UCLA_EPSS_2023_Newsletter_FINAL.pdf,rendered,
4,2022 Newsletter,04-2022.jpg,https://epss.ucla.edu/wp-content/uploads/2025/07/2022_Newsletter_Web.pdf,rendered,
5,2020-2021 Newsletter,05-2020-2021.jpg,https://epss.ucla.edu/wp-content/uploads/2025/07/UCLA_EPSS_2020-2021-Newsletter_v12r.pdf,rendered,
6,2019 Newsletter,06-2019.jpg,https://epss.ucla.edu/wp-content/uploads/2025/07/2019_newsletter_web.pdf,rendered,Archive page listed a 404 legacy /media/ path; rendered from the working official wp-content upload URL.
7,2018 Newsletter,07-2018.jpg,https://epss.ucla.edu/wp-content/uploads/2025/07/2018_newsletter_web.pdf,rendered,
8,2017 Newsletter,08-2017.jpg,https://epss.ucla.edu/wp-content/uploads/2025/07/2017_newsletter_web.pdf,rendered,
9,2016 Newsletter,09-2016.jpg,https://epss.ucla.edu/wp-content/uploads/2025/07/2016_Newsletter_Web.pdf,rendered,
10,2015 Newsletter,10-2015.jpg,https://epss.ucla.edu/wp-content/uploads/2025/07/2015_Newsletter_Web.pdf,rendered,
11,2014 Newsletter,11-2014.jpg,https://epss.ucla.edu/wp-content/uploads/2025/07/2014_Newsletter_Web.pdf,rendered,
12,2013 Newsletter,12-2013.jpg,https://epss.ucla.edu/wp-content/uploads/2025/07/2013_Newsletter_Web.pdf,rendered,
13,2012 Newsletter,13-2012.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/2012_Newsletter_Web.pdf,rendered,
14,2011 Newsletter,14-2011.jpg,https://epss.ucla.edu/wp-content/uploads/2025/07/2011_Newsletter_Web.pdf,rendered,
15,2010 Newsletter,15-2010.jpg,https://epss.ucla.edu/wp-content/uploads/2025/07/2010_Newsletter_Web.pdf,rendered,
16,2009 Newsletter,16-2009.jpg,https://epss.ucla.edu/wp-content/uploads/2025/07/2009_Newsletter_Web.pdf,rendered,
17,2008 Newsletter,17-2008.jpg,https://epss.ucla.edu/wp-content/uploads/2025/07/2008_Newsletter_Web.pdf,rendered,
18,2006 Newsletter (Archive),18-2006.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/ESPP-Newsletter-2006.pdf,rendered,
19,2004-05 Newsletter (Archive),19-2004-05.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-2004-05.pdf,rendered,
20,2003 Newsletter (Archive),20-2003.jpg,https://epss.ucla.edu/wp-content/uploads/2025/07/EPSS-Newsletter-2003.pdf,rendered,
21,2002 Newsletter (Archive),21-2002.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-2002-rfs.pdf,rendered,
22,2001 Newsletter (Archive),22-2001.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-2001-rfs.pdf,rendered,
23,2000 Newsletter (Archive),23-2000.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-2000-rfs.pdf,rendered,
24,1999 Newsletter (Archive),24-1999.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1999-rfs.pdf,rendered,
25,1997-98 Newsletter (Archive),25-1997-98.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1997-1998.pdf,rendered,
26,1996 Newsletter (Archive),26-1996.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1996-rfs.pdf,rendered,
27,1995 Newsletter (Archive),27-1995.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1995-rfs.pdf,rendered,
28,1994 Newsletter (Archive),28-1994.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1994-rfs.pdf,rendered,
29,1993 Newsletter (Archive),29-1993.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1993-rfs.pdf,rendered,
30,1992 Newsletter (Archive),30-1992.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1992-rfs.pdf,rendered,
31,1991 Newsletter (Archive),31-1991.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1991-rfs.pdf,rendered,
32,1986-87 Newsletter (Archive),32-1986-87.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1986-87.pdf,rendered,
33,1985-86 Newsletter (Archive),33-1985-86.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1985-86.pdf,rendered,
34,1984 Newsletter (Archive),34-1984.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1984-rfs_lXME8fp.pdf,rendered,
35,1981-83 Newsletter Part 2 (Archive),35-1981-83-part-2.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1981-83-part-2.pdf,rendered,
36,1981-83 Newsletter Part 3 (Archive),36-1981-83-part-3.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1981-83-part-3.pdf,rendered,
37,1981-83 Newsletter Part 1 (Archive),37-1981-83-part-1.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1981-83-part-1.pdf,rendered,
38,1980-81 Newsletter (Archive),38-1980-81.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1980-81.pdf,rendered,
39,1979-80 Newsletter (Archive),39-1979-80.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1979-80.pdf,rendered,
40,1977-78 Newsletter (Archive),40-1977-78.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1977-78_002.pdf,rendered,
41,1976-77 Newsletter (Archive),41-1976-77.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1976-77.pdf,rendered,
42,1975 Newsletter (Archive),42-1975.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1975.pdf,rendered,
43,1974 Newsletter (Archive),43-1974.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1974.pdf,rendered,
44,1973 Newsletter (Archive),44-1973.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1973.pdf,rendered,
45,1971 Newsletter (Archive),45-1971.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1971.pdf,rendered,
46,1970 Newsletter (Archive),46-1970.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1970.pdf,rendered,
47,1968 Newsletter (Archive),47-1968.jpg,https://epss.ucla.edu/wp-content/uploads/media/documents/newsletters/EPSS-Newsletter-1968.pdf,rendered,
