group,item_name,file_id,mime_type,size_bytes,modified_time,drive_url,notes
main-folder,Jewitt painting,1KixS8YECm9LHXLEWAfpgvgn4JIzgRz0j,application/pdf,2566631,2026-09-03T18:47:37.304Z,https://drive.google.com/file/d/1KixS8YECm9LHXLEWAfpgvgn4JIzgRz0j/view,Main Drive folder item.
main-folder,EPSS Commencement names degrees,1A4vRGV-_17-wjN_fMO0au790KYa_LZtb,application/pdf,194906,2026-09-03T18:47:17.048Z,https://drive.google.com/file/d/1A4vRGV-_17-wjN_fMO0au790KYa_LZtb/view,Main Drive folder item.
main-folder,Donor Endowment EPSS Newsletter Materials 2026.xlsx,1yFxJEhzrq8Ig41tuDmRsdef73FVXkcRr,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,13397,2026-09-03T18:46:51.746Z,https://docs.google.com/spreadsheets/d/1yFxJEhzrq8Ig41tuDmRsdef73FVXkcRr/edit,Main Drive folder item.
main-folder,Schubert,1YwZCYiOJJ1J3q4BmOonKaK8Bs4NrXA-a,application/vnd.google-apps.folder,,2026-08-25T02:19:52.030Z,https://drive.google.com/drive/folders/1YwZCYiOJJ1J3q4BmOonKaK8Bs4NrXA-a,Folder contains Schubert source files.
main-folder,Student Awards,1IMZUqxXUy6--tSWgfhzPR27N_rE-2Y6jMYk2hyukQ8M,application/vnd.google-apps.document,26095681,2026-08-25T02:13:30.866Z,https://docs.google.com/document/d/1IMZUqxXUy6--tSWgfhzPR27N_rE-2Y6jMYk2hyukQ8M/edit,Main Drive folder item.
main-folder,Meet The Newest Additions to the EPSS Asteroid Family,1HmZvquHaTpH5QyPuAe7T7Ug2rMF1ldl3v4sgf37hbjY,application/vnd.google-apps.document,214026,2026-08-24T21:10:51.823Z,https://docs.google.com/document/d/1HmZvquHaTpH5QyPuAe7T7Ug2rMF1ldl3v4sgf37hbjY/edit,Main Drive folder item.
main-folder,JVenkatraman_newsletter_blurb.docx,1jwKS8tR0SxB0r7TRBhH5Fth-4ScSjmI3,application/vnd.openxmlformats-officedocument.wordprocessingml.document,142891,2026-08-17T19:57:15.000Z,https://docs.google.com/document/d/1jwKS8tR0SxB0r7TRBhH5Fth-4ScSjmI3/edit,Main Drive folder item.
main-folder,Art_and_Science_Hilke.pdf,1M-IC_733TQPk8YkWup4yOBlr372ywpC0,application/pdf,3953784,2026-08-14T01:26:41.000Z,https://drive.google.com/file/d/1M-IC_733TQPk8YkWup4yOBlr372ywpC0/view,Main Drive folder item.
main-folder,Goodbye Silver Suburban,1_2avaACxPXN_J3rh3juHlgO58eKssagw1XEpV8s5SkQ,application/vnd.google-apps.document,2745259,2026-08-13T05:35:26.802Z,https://docs.google.com/document/d/1_2avaACxPXN_J3rh3juHlgO58eKssagw1XEpV8s5SkQ/edit,Partial source.
main-folder,Faculty Awards,11h4yT3zj6ViXP-IpMHT_wMmWlxEZaRBmGBDl9CSaEGI,application/vnd.google-apps.document,2780291,2026-08-13T05:23:56.694Z,https://docs.google.com/document/d/11h4yT3zj6ViXP-IpMHT_wMmWlxEZaRBmGBDl9CSaEGI/edit,Main Drive folder item.
main-folder,Pick of EPSS Commencement,15KbbG_9rNxQXLHRMQUglVbLehN4lD2FR,application/vnd.google-apps.folder,,2026-08-05T20:08:35.094Z,https://drive.google.com/drive/folders/15KbbG_9rNxQXLHRMQUglVbLehN4lD2FR,Folder contains 12 JPEG picks.
main-folder,Peltzer retired,1UWysMV6_wDRXv3w0sBjvtRzcsRCAMtxo6JMSboK7CKE,application/vnd.google-apps.document,4589,2026-07-16T22:43:36.582Z,https://docs.google.com/document/d/1UWysMV6_wDRXv3w0sBjvtRzcsRCAMtxo6JMSboK7CKE/edit,Article source.
main-folder,Peter Chi for EPSS Newsletter 2026 v1.docx,1pEUhffPnBrq-oeDPzZ4WhctQ6ROO_lcD,application/vnd.openxmlformats-officedocument.wordprocessingml.document,533195,2026-07-16T22:27:39.000Z,https://docs.google.com/document/d/1pEUhffPnBrq-oeDPzZ4WhctQ6ROO_lcD/edit,Article source.
main-folder,The BALBOA Balloon Project_EPSS.docx,1jOeujjNVAWcLzsDALcquJUaF4w0s-IhH,application/vnd.openxmlformats-officedocument.wordprocessingml.document,3552383,2026-07-16T22:23:12.000Z,https://docs.google.com/document/d/1jOeujjNVAWcLzsDALcquJUaF4w0s-IhH/edit,Article and figure source.
commencement-picks,DSC_0890.JPG,1fLmtkfAJyQcVn-Fh6kORWDVHPKZhJEEp,image/jpeg,10791088,2026-08-05T21:34:07.000Z,https://drive.google.com/file/d/1fLmtkfAJyQcVn-Fh6kORWDVHPKZhJEEp/view,Drive picked commencement photo.
commencement-picks,DSC_0891.JPG,1us6RJ7K4-e5BKlqiAoEI9B7VaICA2P3Z,image/jpeg,9924791,2026-08-05T21:34:05.000Z,https://drive.google.com/file/d/1us6RJ7K4-e5BKlqiAoEI9B7VaICA2P3Z/view,Drive picked commencement photo.
commencement-picks,DSC_0789.JPG,1RTTb69KQqVeBTyf5SgBncMwNAdhuBEYl,image/jpeg,9696676,2026-08-05T21:33:34.000Z,https://drive.google.com/file/d/1RTTb69KQqVeBTyf5SgBncMwNAdhuBEYl/view,Drive picked commencement photo.
commencement-picks,DSC_1303.JPG,1Q7w48HQLRK39zxmmx80JhQHwMiBEGiWS,image/jpeg,11723686,2026-08-05T21:26:47.000Z,https://drive.google.com/file/d/1Q7w48HQLRK39zxmmx80JhQHwMiBEGiWS/view,Drive picked commencement photo.
commencement-picks,DSC_1185.JPG,1se55rvRTnbWYjqmFkVFYoMoIP-Sjs7ga,image/jpeg,10354935,2026-08-05T21:26:08.000Z,https://drive.google.com/file/d/1se55rvRTnbWYjqmFkVFYoMoIP-Sjs7ga/view,Drive picked commencement photo.
commencement-picks,DSC_0975.JPG,1_aUcYIrlkE-_rhpWXFe_2lSyzj3BlN6E,image/jpeg,10029048,2026-08-05T21:25:18.000Z,https://drive.google.com/file/d/1_aUcYIrlkE-_rhpWXFe_2lSyzj3BlN6E/view,Drive picked commencement photo.
commencement-picks,DSC_0837.JPG,1mnFXRKPjJP4R-BjCXZO7MPt4Ja0jYLJv,image/jpeg,15250074,2026-08-05T21:24:36.000Z,https://drive.google.com/file/d/1mnFXRKPjJP4R-BjCXZO7MPt4Ja0jYLJv/view,Drive picked commencement photo.
commencement-picks,DSC07954.jpg,1Z8kTO124D5ixIGZYLs4cdW7olzXoN3ZW,image/jpeg,1914937,2026-08-05T20:25:42.000Z,https://drive.google.com/file/d/1Z8kTO124D5ixIGZYLs4cdW7olzXoN3ZW/view,Drive picked commencement photo; tested streamable as authenticated file reference.
commencement-picks,DSC08016.jpg,1_f0DX9pfnJKFwJChnPVrXRU8Uc5TZdiS,image/jpeg,3503058,2026-08-05T20:23:34.000Z,https://drive.google.com/file/d/1_f0DX9pfnJKFwJChnPVrXRU8Uc5TZdiS/view,Drive picked commencement photo.
commencement-picks,DSC07983.jpg,1nr-FsK2LDU0VxJCYrygmvo50NIXh7PKZ,image/jpeg,6011003,2026-08-05T20:22:49.000Z,https://drive.google.com/file/d/1nr-FsK2LDU0VxJCYrygmvo50NIXh7PKZ/view,Drive picked commencement photo.
commencement-picks,DSC08208.jpg,1Vj8xjFghHsANz9nQ5FenFuZ0B6-NVhhJ,image/jpeg,7168645,2026-08-05T20:20:38.000Z,https://drive.google.com/file/d/1Vj8xjFghHsANz9nQ5FenFuZ0B6-NVhhJ/view,Drive picked commencement photo; suggested in commencement write-up.
commencement-picks,DSC_1253.JPG,1f87DpzLpYljzCppkXJArWeOrDa3iFpWa,image/jpeg,11617418,2026-08-05T20:18:44.000Z,https://drive.google.com/file/d/1f87DpzLpYljzCppkXJArWeOrDa3iFpWa/view,Drive picked commencement photo.
schubert-folder,Schubert-Obit-UCLA_v3.docx,18ymM9vcvpgR1tB7gUATHzqpZ-WlaECk4,application/vnd.openxmlformats-officedocument.wordprocessingml.document,261751,2026-08-25T21:58:44.142Z,https://docs.google.com/document/d/18ymM9vcvpgR1tB7gUATHzqpZ-WlaECk4/edit,Schubert folder source file.
schubert-folder,Schubert-Reminscinces-RAA19.pdf,1n3WIy4ZNhlvfSr60ofquGyWh7V1Q4RdM,application/pdf,3152062,2026-08-25T02:18:38.000Z,https://drive.google.com/file/d/1n3WIy4ZNhlvfSr60ofquGyWh7V1Q4RdM/view,Schubert folder source file.
peltzer,Peltzer photo ZIP,1FQMUjYtoapOBN0Wdgs2hwHU4srEXe5Zq,application/zip,26581840,2026-05-14T19:27:14.167Z,https://drive.google.com/file/d/1FQMUjYtoapOBN0Wdgs2hwHU4srEXe5Zq/view,ZIP is reachable; extract later for contact sheet.

