asset_group,related_item,source_type,source_location,known_files_or_children,availability,next_action,site_ready_format
commencement-drive-picks,Commencement,Google Drive folder,https://drive.google.com/drive/folders/15KbbG_9rNxQXLHRMQUglVbLehN4lD2FR,"DSC_0890.JPG; DSC_0891.JPG; DSC_0789.JPG; DSC_1303.JPG; DSC_1185.JPG; DSC_0975.JPG; DSC_0837.JPG; DSC07954.jpg; DSC08016.jpg; DSC07983.jpg; DSC08208.jpg; DSC_1253.JPG",Available,"Build contact sheet only if more images are needed; credit commencement-day photos to Valeria Jaramillo Hernandez and Zachary Lacson; confirm captions/selection.","JPEG/WebP in app/public/assets/images/2026/commencement/"
commencement-drive-full,Commencement,Google Drive folder,https://drive.google.com/drive/folders/1AX2AdLKBZiX3gbkD9buHQ31DnH5_9P37,"EPSS Commencement Write Up; EPSS Staff Photos; Val's Unedited Photos; Share YOUR photos here :)",Available,"Use write-up; inspect subfolders if picks are insufficient; preserve confirmed commencement-day credit.","Markdown source packet plus selected images."
commencement-box-val,Commencement,Box folder,https://ucla.app.box.com/folder/393204966911,"Val_s Unedited Photos Old; includes Val_s Edited Photos and many DSC_*.JPG files.",Available in browser,"Prefer edited photos first; use unedited as backup; credit commencement-day photos to Valeria Jaramillo Hernandez and Zachary Lacson.","Selected compressed JPEG/WebP, filename normalized."
commencement-box-zach,Commencement,Box folder,https://ucla.app.box.com/folder/393206250818,"Zach's Photos; includes DSC08208.jpg and many additional ceremony photos.",Available in browser,"Build contact sheet only if replacing DSC08208.jpg; credit commencement-day photos to Valeria Jaramillo Hernandez and Zachary Lacson.","Selected compressed JPEG/WebP, filename normalized."
field-2026,Field / Geophysics 136C,Box folder,https://ucla.app.box.com/folder/400260548483,"ZIPs for Death Valley Superbloom, San Diego Salton Sea, Palos Verdes; loose JPGs including DSC00126.JPG, DSC00849.JPG, DSC01256.JPG, DSC02015.JPG, PXL_20260228_132846537.jpg, PXL_20260227_013226270.jpg, DSC069482.JPG.",Available in browser,"Build field contact sheet; identify landscape hero candidates and caption needs.","JPEG/WebP in app/public/assets/images/2026/field/"
epss-103a-2026,Field / Geophysics 136C,Box folder,https://ucla.app.box.com/folder/400388889455,"IMG_8738.JPG; IMG_8737.JPG; IMG_8739.JPG; IMG_8729.JPG; DSC01946.JPG; DSC02014.JPG; DSC02015.JPG; DSC01943.JPG; DSC02019.JPG; DSC01425.JPG; DSC01717.JPG; DSC01477.JPG; DSC01491.JPG; DSC01451.JPG; DSC01433.JPG; DSC01247.JPG; DSC01242.JPG; DSC01260.JPG; DSC01256.JPG; DSC01316.JPG",Available in browser,"Prioritize landscape images for hero/mosaic; confirm people/captions.","JPEG/WebP in app/public/assets/images/2026/field/"
peltzer-photos,Gilles Peltzer,Google Drive zip,Drive file ID 1FQMUjYtoapOBN0Wdgs2hwHU4srEXe5Zq,"peltzer_pics.zip, approx. 26.6 MB",Available,"Download/extract only when ready to select; map photos to captions in doc.","Selected JPEG/WebP in app/public/assets/images/2026/peltzer/"
jewitt-art,Jewitt/Hilke,Google Drive PDF,https://drive.google.com/file/d/1KixS8YECm9LHXLEWAfpgvgn4JIzgRz0j/view,"Jewitt painting PDF with answers and artwork captions.",Available,"Extract artwork images; preserve captions exactly enough for crediting.","JPEG/WebP plus captions in article packet."
hilke-art,Jewitt/Hilke,Google Drive PDF,https://drive.google.com/file/d/1M-IC_733TQPk8YkWup4yOBlr372ywpC0/view,"Art_and_Science_Hilke.pdf with answers and artwork captions.",Available,"Extract artwork images; preserve captions exactly enough for crediting.","JPEG/WebP plus captions in article packet."
balboa-figures,BALBOA,Google Drive DOCX,https://docs.google.com/document/d/1jOeujjNVAWcLzsDALcquJUaF4w0s-IhH/edit,"DOCX contains article copy and figure captions; embedded figures likely present.",Available but extraction unverified,"Download raw DOCX and extract media; confirm citations/credits.","JPEG/PNG/WebP plus figure captions."
